date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,0.6,NA,NA,75,75,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,NA,1.3,NA,100,100,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.5,NA,50,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,4.8,NA,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,NA,1.1,NA,100,100,25,0,2,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.1,NA,25,75,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.5,NA,50,50,50,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.6,NA,25,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,NA,1.1,NA,100,100,25,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,yes,no,8.5,NA,0,50,50,25,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,yes,no,4.9,NA,25,25,25,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,2,NA,NA,100,100,100,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,yes,no,7.5,NA,0,25,25,25,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,3.8,NA,0,25,25,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,yes,no,6.7,NA,50,75,75,25,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,2.4,NA,NA,25,25,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,3.9,NA,0,0,0,0,0,NA,,,
7/27/2025,Slate,SLAT5,C,black spruce,no,no,4.5,NA,0,0,0,0,0,NA,,,
